pincode,city,state,district,lat,lon
122005,Gurgaon,HR,Gurugram,28.5056111,77.0710556
122006,Gurugram,HR,Gurugram,28.4855613,77.009056
122007,Gurugram,HR,Gurugram,28.462,77.0316389
122008,Gurugram,HR,Gurugram,28.462,77.0316389
122009,Gurugram,HR,Gurugram,28.3408889,76.7561944
122010,Gurugram,HR,Gurugram,28.466093,77.1058349
122011,Gurugram,HR,Gurugram,28.462,77.0316389
122012,Gurugram,HR,Gurugram,28.413887,76.9931945
122015,Gurgaon,HR,Gurugram,28.4973611,77.0630556
122016,Gurgaon,HR,Gurugram,28.4965833,77.0852778
122017,Gurugram,HR,Gurugram,28.5072345,77.0315475
122018,Gurugram,HR,Gurugram,28.462,77.0316389
122051,Gurugram,HR,Gurugram,28.344247,76.943839
122052,Gurugram,HR,Gurugram,28.342,76.9364722
122098,Gurugram,HR,Gurugram,28.3913822,77.0511932
122101,Gurgaon,HR,Gurugram,28.3913822,77.0511932
122102,Gurgaon,HR,Gurugram,28.352169,77.06471
122103,Sohna,HR,Gurugram,28.248459,77.065802
122104,Ferozepur Jhirka,HR,Nuh,27.787343,76.946463
122105,Gurgaon,HR,Nuh,28.21313,76.954679
122107,Nuh,HR,Nuh,28.095943,77.001664
122108,Gurgaon,HR,Nuh,27.9204,76.984468
122413,Gurugram,HR,Gurugram,29.387631,77.446429
122414,Gurugram,HR,Gurugram,28.271733,76.740867
122502,Rewari,HR,Rewari,28.292981,76.697254
122503,Gurugram,HR,Gurugram,28.325728,76.777811
122504,Gurugram,HR,Gurugram,28.467015,77.081198
122505,Gurugram,HR,Gurugram,28.421592,76.914258
122506,Gurugram,HR,Gurugram,28.446796,76.825692
122508,Nuh,HR,Nuh,27.824681,77.177104
123001,Narnaul,HR,Mahendragarh,28.044064,76.118082
123021,Narnaul,HR,Mahendragarh,28.100932,76.253154
123023,Narnaul,HR,Mahendragarh,27.892541,76.110493
123024,Bhiwani,HR,Mahendragarh,28.378752,75.96466
123027,Kanina,HR,Mahendragarh,28.336368,76.306545
123028,Narnaul,HR,Mahendragarh,28.191762,76.130587
123029,Narnaul,HR,Mahendragarh,28.25814,76.139164
123031,Mahendragarh,HR,Mahendragarh,28.271019,76.149389
123034,Narnaul,HR,Mahendragarh,28.258604,76.227683
123035,Narnaul,HR,Rewari,28.356184,76.623774
123101,Narnaul,HR,Rewari,28.201261,76.485949
123102,Narnaul,HR,Rewari,28.145891,76.394749
123103,Narnaul,HR,Rewari,28.196945,76.397606
123106,Rewari,HR,Rewari,28.231413,76.801381
123110,Rewari,HR,Rewari,28.2335556,77.8032778
123301,Bhiwani,HR,Rewari,28.359814,76.53526
123302,Rewari,HR,Rewari,28.399192,76.483651
123303,Rewari,HR,Rewari,28.409434,76.397007
123401,Narnaul,HR,Rewari,28.202722,76.616953
123411,Rewari,HR,Rewari,28.295395,76.383798
123412,Narnaul,HR,Rewari,28.097334,76.515583
123501,Bawal,HR,Rewari,28.069873,76.579918
124001,Rohtak,HR,Rohtak,28.405859,76.215935
124010,Rohtak,HR,Rohtak,28.735904,76.748085
124021,Rohtak,HR,Rohtak,28.452977,76.378498
124022,Rohtak,HR,Rohtak,28.671593,76.748085
124102,Rohtak,HR,Jhajjar,28.759966,76.931763
124103,Jhajjar,HR,Jhajjar,28.728528,76.554108
124104,Jhajjar,HR,Jhajjar,28.735904,76.510506
124105,Rohtak,HR,Jhajjar,28.597164,76.783619
124106,Jhajjar,HR,Jhajjar,28.735904,76.510506
124107,Rohtak,HR,Jhajjar,28.781163,76.864815
124108,Rohtak,HR,Jhajjar,28.735904,76.510506
124109,Rohtak,HR,Jhajjar,28.414786,76.540718
124111,Rohtak,HR,Rohtak,28.735904,76.510506
124112,Rohtak,HR,Rohtak,28.405859,76.215935
124113,Kalanaur,HR,Rohtak,28.605585,76.620026
124141,Rohtak,HR,Jhajjar,28.8955833,76.5925278
124142,Jhajjar,HR,Jhajjar,28.502149,76.345367
124146,Jhajjar,HR,Jhajjar,28.681179,76.510506
124201,Beri,HR,Jhajjar,28.603946,76.75272
124202,Rohtak,HR,Rohtak,28.728528,76.437206
124303,Rohtak,HR,Rohtak,28.681179,76.510506
124401,Rohtak,HR,Rohtak,28.503525,76.599255
124404,Rohtak,HR,Jhajjar,28.634988,76.823959
124406,Rohtak,HR,Rohtak,28.605585,76.620026
